"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"ROCKY RIVER VINEYARDS","","","","25","Ground water","11685 REED MINE RD
MIDLAND, NC 28107","704-781-5035","",""
"RODEWAY INN","","","","100","Ground water","7568 NC HWY 48
BATTLEBORO, NC 27809","919-721-5798","",""
"ROGERS PARK REFORMED CHURCH","","","","50","Ground water","206 W FIRST ST
LANDIS, NC 28088","","",""
"ROLLING ACRES S/D","","","","58","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"ROLLING HILLS ESTATES","","","","48","Ground water","20729 RIO ORO DR
CORNELIUS, NC 28031","954-471-4422","",""
"ROLLING MEADOW S/D","","","","51","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"ROLLING OAKS ESTATES","","","","75","Surface water purchased","PO BOX 1407
PISGAH FOREST, NC 28768","828-884-9772","",""
"ROLLING RIDGE S/D","","","","61","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"ROLLING THUNDER RIVER CO","","","","150","Ground water","10160 HWY 19 W
BRYSON CITY, NC 28713","800-408-7238","",""
"ROLLINGVIEW MARINA","","","","25","Ground water","3940 FALLS LAKE RD
DURHAM, NC 27703","919-596-2194","",""
"ROLLINGVIEW STATE PARK","","","","191","Ground water","13304 CREEDMOOR RD.
WAKE FOREST, NC 27587","919-676-1027","",""
"RONDA, TOWN OF","","","","907","Surface water purchased","PO BOX 398
RONDA, NC 28670","336-835-2061","",""
"RONDA-CLINGMAN ELEM SCHOOL","","","","321","Ground water","613 CHERRY ST
N WILKESBORO, NC 28659","336-667-2021","",""
"RONNIE LAMM FARMS MLC","","","","40","Ground water","6505 OLD RALEIGH RD
SIMS, NC 27880","252-291-5416","",""
"RON`S QUICK GROCERY","","","","50","Ground water","1534 COPPERPLATE ROAD
CHARLOTTE, NC 28262","704-784-3317","",""
"ROPER WATER SYSTEM","","","","602","Ground water purchased","PO BOX 217
ROPER, NC 27970","252-793-5527","",""
"ROSE HILL, TOWN OF","","","","1,862","Ground water","P O BOX 8
TOWN OF ROSE HILL
ROSE HILL, NC 28458","910-289-2000","",""
"ROSE MOTEL","","","","50","Ground water","PO BOX 253
SHARPSBURG, NC 27878","252-442-6753","",""
"ROSEBORO, TOWN OF","","","","1,897","Ground water","510 BLANEY STREET
CLINTON, NC 28328","910-299-9151","",""
"ROSEBUD CHRISTIAN CHURCH","","","","110","Ground water","1918 ROSEBUD RD
WALNUT COVE, NC 27052","336-591-7567","",""
"ROSELAND HEIGHTS S/D","","","","51","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"ROSMAN, TOWN OF","","","","650","Ground water","PO BOX 636
ROSMAN, NC 28772","828-884-6859","",""
"ROSS GROCERY","","","","25","Ground water","983 HWY 87
REIDSVILLE, NC 27320","336-349-4834","",""
"ROSS HILL BAPTIST CHURCH","","","","100","Ground water","5045 BOSTIC/SUNSHINE HWY
BOSTIC, NC 28018","828-287-4205","",""
"ROSS MOTEL","","","","100","Ground water","1700 HWY 17 NORTH
TRUSH, INC
WILLIAMSTON, NC 27892","252-792-4115","",""
"ROUND HILL BAPTIST CHURCH","","","","60","Ground water","147 LIBERTY HILL CHURCH RD
UNION MILLS, NC 28167","","",""
"ROUND HILL BAPTIST CHURCH","","","","100","Ground water","271 HAYMEADOW VIEW LANE
HAYS, NC 28635","","",""
"ROUND PEAK WINERY","","","","25","Ground water","765 ROUND PEAK CHURCH RD
MT AIRY, NC 27030","336-352-5595","",""
"ROUNDTREE S/D","","","","86","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"ROWAN COUNTRY STORE","","","","50","Ground water","16846 NC 210 HWY E
IVANHOE, NC 28447","910-669-2766","",""
"ROWAN PFWB CHURCH","","","","75","Ground water","12399 NC 210 E
IVANHOE, NC 28447","","",""
"ROWLAND CHAPEL CH OF CHRIST","","","","100","Ground water","37 SPARROW CIRCLE
LOUISBURG, NC 27549","252-492-0212","",""
"ROWLAND POND S/D","","","","358","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"ROWLAND, TOWN OF","","","","1,341","Ground water","PO BOX 127
ROWLAND, NC 28383","910-422-3333","",""
"ROXBORO COUNTRY CLUB","","","","40","Ground water","3191 GELA RD
OXFORD, NC 27565","919-691-1056","",""
"ROXBORO STEAM PLANT","","","","450","Surface water","1700 DUNNAWAY RD
SEMORA, NC 27343","336-597-6101","",""
"ROXBORO, CITY OF","","","","14,900","Surface water","PO BOX 128
ROXBORO, NC 27573","336-599-4906","",""
"ROYAL ACRES S/D","","","","63","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"ROYAL CHAPEL MISSIONARY BAPT","","","","50","Ground water","PO BOX 53
IVANHOE, NC 28447","","",""
"ROYAL SENTER RIDGE S/D","","","","635","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"ROYS BAIT & TACKLE SHOP","","","","50","Ground water","3821 HWY 421 NORTH
WILMINGTON, NC 28401","910-762-8681","",""
"RUFFIN STACEY BAPTIST CHURCH","","","","200","Ground water","261 ESTES RD
RUFFIN, NC 27326","336-939-2895","",""
"RUN IN FOODS  NO 831","","","","25","Ground water","PO BOX 111
STATESVILLE, NC 28687","704-872-3601","",""
"RURAL HILL HISTORIC SCHOOL HOU","","","","25","Ground water","5841 BROOKSHIRE BLVD
CHARLOTTE, NC 28216-2403","","",""
"RURAL HILLS","","","","25","Ground water","5841 BROOKSHIRE BLVD
CHARLOTTE, NC 28216-2403","","",""
"RURAL HILLS CULTURAL CENTER","","","","25","Ground water","5841 BROOKSHIRE BLVD
CHARLOTTE, NC 28216-2403","","",""
"RUSSETTE MEADOWS MHP","","","","65","Ground water","4371 BELLMONT-MT HERMON RD
BURLINGTON, NC 27215","336-228-6106","",""
"RUSTIC HILLS BAPTIST CHURCH","","","","80","Ground water","PO BOX 370
MCADENVILLE, NC 28101","704-867-7101","",""
"RUSTIC RIDGE MHP","","","","122","Ground water","PO BOX 23
BUNN, NC 27508","252-903-5433","",""
"RUSTIC TRAILS S/D","","","","127","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"RUTHERFORD COLLEGE TOWN OF","","","","2,083","Surface water purchased","P O BOX 406
RUTHERFORD COLLEGE, NC 28671","828-874-0333","",""
"RUTLEDGE LANDING S/D","","","","688","Ground water","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"S & L COUNTRY ESTATE MHP","","","","110","Ground water","110 N HIGHWAY 18
VALE, NC 28168","704-538-5345","",""
"S T  WOOTEN CORPORATION","","","","65","Ground water","6302 BRYAN ROAD
LUCAMA, NC 27851","","",""
"S. T. WOOTEN CORP","","","","25","Ground water","PO BOX 2408
WILSON, NC 27894","252-291-5165","",""
"SACK`S BARBECUE","","","","30","Ground water","1206 HIGH LONESOME RD
BRYSON CITY, NC 28713","","",""
"SADDLE MOUNTAIN CAFE","","","","25","Ground water","8735 GLADE VALLEY RD
ENNICE, NC 28623","336-657-8680","",""
"SADDLE RIDGE CAMPGROUND","","","","400","Ground water","124 CARIBOU DRIVE
STATESVILLE, NC 28625","336-710-2464","",""
"SADDLE RUN S/D","","","","582","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"SADDLEBROOK RESTAURANT & GRILL","","","","75","Ground water","512 MEADOW ROAD
FERGUSON, NC 28624","336-973-4142","",""
"SADDLERIDGE S/D","","","","386","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"SADDLEWOOD II S/D","","","","320","Ground water","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"SAFETY KLEEN SYSTEMS INC","","","","26","Ground water","125 SOMMERVILLE PARK RD
RALEIGH, NC 27603","919-772-6622","",""
"SAFRIT ANNEX WATER SYSTEM","","","","51","Ground water","PO BOX 7
LANDIS, NC 28088","704-857-7571","",""
"SAINT LUKE CATHOLIC CHURCH","","","","1,500","Ground water","13700 LAWYERS RD
MINT HILL, NC 28277","704-545-1224","",""
"SAINT PAULS, TOWN OF","","","","2,297","Ground water","PO BOX 364
ST PAULS, NC 28384","910-865-5164","",""
"SALEM BAPTIST CHURCH","","","","60","Ground water","11290 SALEM SCHOOL RD
WHITAKERS, NC 27891","","",""
"SALEM FORK BAPTIST CHURCH","","","","25","Ground water","185 CROSSROADS CHURCH RD
DOBSON, NC 27017","","",""
"SALEM FORK CHRISTIAN CHURCH","","","","25","Ground water","1692 ZEPHYR ROAD
DOBSON, NC 27017","336-366-2408","",""
"SALEM FWB CHURCH","","","","125","Ground water","407 SALEM CHURCH RD
OLD FORT, NC 28762","828-668-4177","",""
"SALEM LUTHERAN & UNITED CHURCH","","","","28","Ground water","3410 STARTOWN RD
LINCOLNTON, NC 28092","","",""
"SALEM LUTHERAN CHURCH","","","","200","Ground water","5080 SHERRILS FORD ROAD
SALISBURY, NC 28147","704-636-0352","",""
"SALEM UNITED METHODIST CHURCH","","","","75","Ground water","22 PAW MANNY'S WAY
WEAVERVILLE, NC 28787","828-645-6014","",""
"SALEM UNITED METHODIST CHURCH","","","","50","Ground water","4471 SALEM CHURCH RD
HAW RIVER, NC 27258","336-376-6513","",""
"SALEMBURG, TOWN OF","","","","850","Ground water","PO BOX 190
SALEMBURG, NC 28385","910-525-5650","",""
"SALISBURY FOURSQUARE CHURCH","","","","100","Ground water","2203 MOORESVILLE RD
SALISBURY, NC 28147","704-636-9159","",""
"SALISBURY-ROWAN","","","","49,210","Surface water","1 WATER ST
SALISBURY, NC 28144","704-638-4480","",""
"SALUDA CITY OF","","","","1,000","Surface water purchased","PO BOX 248
SALUDA, NC 28773","828-749-2581","",""
"SALUDA MOUNTAIN LODGE","","","","40","Ground water","1793 HOLBERTS COVE RD
SALUDA, NC 28773","866-602-6973","",""
"SAM SPRINGS AME ZION CHURCH","","","","50","Ground water","2054 CLAUDE'S DRAG RD
ROSEBORO, NC 28382","","",""
"SAMARIA BAPTIST CHURCH","","","","80","Ground water","9229 WEST NC 97
MIDDLESEX, NC 27557","","",""
"SAMARITANS PURSE CONFERENCE CENTER","","","","125","Ground water","801 BAMBOO RD
BOONE, NC 28607","828-262-1980","",""
"SAMIRS #5","","","","300","Ground water","PO BOX 1272
OLD FORT, NC 28762","828-756-8018","",""
"SAMPSON CO WTR DIST I-CLINTON","","","","3,600","Ground water purchased","PO BOX 1280
CLINTON, NC 28329","910-592-0188","",""
"SAMPSON CO WTR DIST I-ROSEBORO","","","","1,296","Ground water purchased","PO BOX 1280
CLINTON, NC 28329","910-592-0188","",""
"SAMPSON CO WTR DIST I-TURKEY","","","","260","Ground water purchased","PO BOX 1280
CLINTON, NC 28329","910-592-0188","",""
"SAMPSON CO WTR DIST II - PLAINVIEW","","","","2,786","Surface water purchased","PO BOX 1280
CLINTON, NC 28329","910-592-0188","",""
"SAMPSON CO WTR DIST II-DUNN","","","","7,000","Ground water","PO BOX 1280
CLINTON, NC 28329","910-592-0188","",""
"SAMPSON CO WTR DIST II-GARLAND","","","","294","Ground water purchased","PO BOX 1280
CLINTON, NC 28329","910-592-0188","",""
"SAM`S CORNER INC  NO 2","","","","25","Ground water","4720 SHADY GROVE RD
PELHAM, NC 27311","336-388-5383","",""
"SANCTUARY CHURCH","","","","500","Ground water","493 MASON TOWN RD
NEWPORT, NC 28570","","",""
"SANCTUARY CHURCH II","","","","50","Ground water","493 MASON TOWN RD
NEWPORT, NC 28570","","",""
"SAND BOX DAYCARE","","","","35","Ground water","130 FT BENJAMIN RD
NEWPORT, NC 28570","252-223-3432","",""
"SANDERS RIDGE","","","","25","Ground water","3200 ROUND HILL RD
BOONEVILLE, NC 27011","336-677-1700","",""
"SANDERSON FARMS","","","","1,300","Ground water","PO BOX 988
LAUREL, MS 39441","601-426-1572","",""
"SANDERSON`S MHP","","","","34","Ground water","502 JOYNER DR
HAVELOCK, NC 28532","","",""
"SANDHILLS ASSEMBLY OF GOD","","","","100","Ground water","6481 US 1 N
SOUTHERN PINES, NC 28388","910-692-2403","",""
"SANDHILLS TEEN CHALLENGE","","","","45","Ground water","PO BOX 1701
SOUTHERN PINES, NC 28388","910-947-2944","",""
"SANDLING BEACH REC AREA","","","","25","Ground water","13304 CREEDMOOR RD.
WAKE FOREST, NC 27587","919-676-1027","",""
"SANDY BRANCH BAPTIST CHURCH","","","","130","Ground water","14054 NC 902 HWY
BEAR CREEK, NC 27207","919-770-7965","",""
"SANDY CREEK BAPT CH","","","","100","Ground water","PO BOX 60
LOUISBURG, NC 27549","919-853-2317","",""
"SANDY FORD FREEWILL BAPTIST","","","","40","Ground water","613 SANDY FORD RD
MT HOLLY, NC 28012","704-827-0866","",""
"SANDY LEVEL BAPTIST CHURCH","","","","70","Ground water","1314 SANDY LEVEL CHURCH RD
BOSTIC, NC 28018","828-287-0909","",""
"SANDY PLAINS MINI MART","","","","75","Ground water","14833 CREEDMOOR RD
WAKE FOREST, NC 27587","919-528-0292","",""
"SANDY POINT RESORT & CAMPGROUND","","","","559","Ground water","1533 SANDBRIDGE RD
VIRGINIA BEACH, VA 23456","252-429-3094","",""
"SANDY RIDGE ELEM SCHOOL","","","","212","Ground water","PO BOX 50
DANBURY, NC 27016","336-591-4282","",""
"SANDY SPRINGS BAPT CHURCH","","","","130","Ground water","2116 LONE HICKORY RD
YADKINVILLE, NC 27055","704-546-7484","",""
"SANDY SPRINGS BAPTIST CH","","","","150","Ground water","235 LAMB'S GRILL RD
RUTHERFORDTON, NC 28139","828-863-4040","",""
"SANDY TRAIL S/D","","","","603","Ground water","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"SANDY'S ONE STOP","","","","25","Ground water","322 E FISHER ST
SALISBURY, NC 28144","704-857-4808","",""
"SANFORD FIRST PENTECOSTAL","","","","90","Ground water","PO BOX 427
SANFORD, NC 27331","919-774-8485","",""
"SANFORD, CITY OF","","","","41,869","Surface water","7441 POPLAR SPRINGS CHURCH RD
SANFORD, NC 27330","919-777-1800","",""
"SANFORDS CREEK SUBDIVISION","","","","41","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"SANTEETLAH BAPTIST CHURCH","","","","25","Ground water","90 OLIVER ORR RD
ROBBINSVILLE, NC 28771","","",""
"SANTEETLAH RV PARK","","","","25","Ground water","975 EAST BUFFALO RD
ROBBINSVILLE, NC 28771","828-479-3428","",""
"SANTEETLAH SHORES","","","","58","Ground water","PO BOX 954
ATTN ENVIRONMENTAL INC - CULLOWHEE
CULLOWHEE, NC 28723","828-586-5588","",""
"SAPONA MFG COMPANY","","","","210","Ground water","PO BOX 128
CEDAR FALLS, NC 27230","336-873-8700","",""
"SAPPHIRE COUNTRY STORE","","","","125","Ground water","PO BOX 145
SAPPHIRE, NC 28774","828-966-4960","",""
"SAPPHIRE LAKES DEVELOPMENT","","","","724","Ground water","PO BOX 1407
PISGAH FOREST, NC 28768","828-884-9772","",""
"SARATOGA TOWN OF","","","","410","Ground water","6302 BRYAN ROAD
LUCAMA, NC 27851","252-230-8115","",""
"SARON BAPTIST CHURCH","","","","25","Ground water","PO BOX 294
ELLERBE, NC 28338","","",""
"SASSAFRAS GAP EMPLOYEE VILLAGE","","","","107","Ground water","P O BOX 954
CULLOWHEE, NC 28723","828-293-9396","",""
"SATTERWHITE POINTE MARINA","","","","100","Ground water","6470 SATTERWHITE POINT RD
HENDERSON, NC 27537","252-430-1300","",""
"SAVANNAH BAPTIST CHURCH","","","","100","Ground water","6675 TABOR CHURCH RD
FAYETTEVILLE, NC 28312","","",""
"SAVANNAH CREEK RV PARK","","","","25","Ground water","PO BOX 954
ATTN ENVIRONMENTAL INC - CULLOWHEE
CULLOWHEE, NC 28723","828-586-5588","",""
"SAWMILL HILL BAPTIST CHURCH","","","","60","Ground water","460 GRIGGS LN
BRYSON CITY, NC 28713","828-488-0980","",""
"SAWMILLS, TOWN OF","","","","5,162","Surface water purchased","4076 HWY 321-A
GRANITE FALLS, NC 28630","828-396-2300","",""
"SAWYERSVILLE WESLEYAN CHURCH","","","","25","Ground water","157 SAWYERSVILLE CHURCH RD
ASHEBORO, NC 27205","336-629-2713","",""
"SAWYER`S MILL S/D","","","","366","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"SAXAPAHAW UTILITY COMPANY","","","","565","Ground water","PO BOX 128
SAXAPAHAW, NC 27340","336-376-3522","",""
"SCENIC OAKS MHP","","","","79","Ground water","516-D RIVER HIGHWAY #178
ALTERRI PROPERTIES, LLC
MOORESVILLE, NC 28117","336-308-9491","",""
"SCENIC WOLF LAUREL POOL","","","","25","Ground water","186 SMITH KNOLLS RD.
FAIRVIEW, NC 28730","","",""
"SCHRONCE USED PARTS & CARS INC","","","","40","Ground water","PO BOX 1267
CONOVER, NC 28613","828-256-2631","",""
"SCOTLAN CO WATER-NORTH","","","","2,566","Ground water purchased","PO BOX 489
LAURINBURG, NC 28353","910-277-2419","",""
"SCOTLAND CO SCHOOLS TRAN DEPT","","","","25","Ground water","15901 MCFARLAND RD
LAURINBURG, NC 28352","910-276-8912","",""
"SCOTLAND CO WATER-SOUTH","","","","3,424","Ground water purchased","PO BOX 489
LAURINBURG, NC 28353","910-277-2419","",""
"SCOTLAND NECK, TOWN OF","","","","2,955","Surface water purchased","PO BOX 537
SCOTLAND NECK, NC 27874","252-826-3152","",""
"SCOTT COMMUNITY HEALTH CTR","","","","25","Ground water","5270 UNION RIDGE RD
BURLINGTON, NC 27217","336-421-3247","",""
"SCOTTS HILL RETAIL CENTER","","","","230","Ground water","PO BOX 10720
WILMINGTON, NC 28404","910-686-1885","",""
"SCOTT`S HILL BAPTIST CH-FRONT","","","","1,200","Ground water","11243 US HWY 17 UNIT B
WILMINGTON, NC 28411","910-686-9885","",""
"SCOTT`S HILL BAPTIST CH-REC","","","","250","Ground water","11243 US HWY 17 UNIT B
WILMINGTON, NC 28411","910-686-9885","",""
"SCOTT`S HILL BAPTIST CHURCH","","","","600","Ground water","11243 US HWY 17 UNIT B
WILMINGTON, NC 28411","910-686-9885","",""
"SCOTT`S HILL MARINA #1","","","","50","Ground water","PO BOX 396
HAMPSTEAD, NC 28443","910-270-4460","",""
"SCOTT`S HILL MARINA #2","","","","75","Ground water","PO BOX 396
HAMPSTEAD, NC 28443","910-270-4460","",""
"SE7EN LLC","","","","110","Ground water","5928 HWY 87 N
GIBSONVILLE, NC 27249","336-585-2318","",""
"SEA LEVEL INN","","","","50","Ground water","3425 ASH MILL CT
APEX, NC 27539","919-527-6020","",""
"SEA SCAPE","","","","60","Ground water","2323 N LAKEVIEW DR
NEWPORT, NC 28570","252-223-5820","",""
"SEABOARD, TOWN OF","","","","640","Ground water","PO BOX 327
SEABOARD, NC 27876","252-589-5061","",""
"SEAFORTH CAMPGROUND","","","","100","Ground water","280 STATE PARK RD
JORDAN LAKE STATE REC AREA
APEX, NC 27523","919-362-0586","",""
"SEAGATE I","","","","345","Ground water","251 MERCHANTS CIRCLE
ATTN: AQUA OF NC
HAMPSTEAD, NC 28443","910-270-1412","",""
"SEAGATE IV","","","","105","Ground water","251 MERCHANTS CIRCLE
ATTN: AQUA OF NC
HAMPSTEAD, NC 28443","910-270-1412","",""
"SEAGROVE-ULAH METRO WATER DIST","","","","2,300","Surface water purchased","133 FARMER RD
ASHEBORO, NC 27203","336-626-1242","",""
"SEAGROVES SUPPLY COMPANY","","","","25","Ground water","8321 NC HWY 751
DURHAM, NC 27713","919-544-3918","",""
"SECOND CHANCE CHURCH","","","","75","Ground water","467 BEAR CREEK CH ROAD
DOBSON, NC 27017","336-374-3394","",""
"SEDGEFIELD S/D","","","","145","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"SEDGEMOOR S/D","","","","425","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"SELLARS MOBILE HOME PARK","","","","35","Ground water","6323 BURTON CHAPEL RD
MEBANE, NC 27302-7365","336-421-0639","",""
"SELMA, TOWN OF","","","","6,120","Ground water","114 N RAIFORD ST
SELMA, NC 27576","919-965-9841","",""
"SELMA, TOWN OF (COUNTY LINE)","","","","642","Surface water purchased","114 N RAIFORD ST
SELMA, NC 27576","919-965-9841","",""
"SER J`S COUNTRY LIVING MHP","","","","65","Ground water","3191 GELA RD
OXFORD, NC 27565","919-691-1056","",""
"SETTLERS CREEK S/D","","","","115","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"SETZER CREEK BAPT CHURCH","","","","75","Ground water","3163 WARRIOR RD
LENOIR, NC 28645","828-728-4460","",""
"SEVEN DEVILS, TOWN OF","","","","400","Ground water","1356 SEVEN DEVILS RD
SEVEN DEVILS, NC 28604","828-963-5343","",""
"SEVENTH DAY ADVENTIST CHURCH","","","","25","Ground water","PO BOX 2335
BANNER ELK, NC 28604","828-898-4643","",""
"SEVERN, TOWN OF","","","","325","Ground water","PO BOX 401
SEVERN, NC 27877","252-585-0411","",""
"SEYMOUR JOHNSON AFB","","","","6,875","Surface water purchased","4 CES/CEI
1095 PETERSON AVE
SEYMOUR JOHNSON, NC 27531-2355","919-722-5168","",""
"SHADE TREE ACRES","","","","28","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"SHADOW LAKES S/D","","","","102","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"SHADOW OAKS PHASE II S/D","","","","84","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"SHADOW OAKS S/D","","","","216","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"SHADOW SPRINGS VINEYARD","","","","25","Ground water","5543 CRATER RD
HAMPTONVILLE, NC 27020","336-468-5000","",""
"SHADY ACRES MH VILLAGE","","","","115","Ground water","7536 NC 39 HWY
ZEBULON, NC 27597","919-404-1668","",""
"SHADY ACRES MHP","","","","86","Ground water","1270 SHADY VALLEY LANE
INNOVATION PROPERTY MANAGEMENT
CLAREMOUNT, NC 28610","828-615-8181","",""
"SHADY GROVE BAPTIST CHURCH","","","","25","Ground water","3808 CENTER RD
BOONVILLE, NC 27011","336-468-8873","",""
"SHADY GROVE BAPTIST CHURCH","","","","25","Ground water","PO BOX 104
PELHAM, NC 27311","336-388-2580","",""
"SHADY GROVE BAPTIST CHURCH","","","","25","Ground water","1050 SHADY GROVE CHURCH RD
STALEY, NC 27355","","",""
"SHADY GROVE BAPTIST CHURCH","","","","100","Ground water","PO BOX 965
KINGS MOUNTAIN, NC 28086","704-739-8920","",""
"SHADY GROVE BAPTIST CHURCH","","","","115","Ground water","3240 TRYON COURTHOUSE RD
CHERRYVILLE, NC 28021","704-435-9605","",""
"SHADY GROVE EDUCATION BUILDING","","","","25","Ground water","PO BOX 98
COLFAX, NC 27235","336-993-2625","",""
"SHADY GROVE FWB CHURCH","","","","150","Ground water","3805 CARPENTER POND RD
DURHAM, NC 27703","919-596-8616","",""
"SHADY GROVE METHODIST CHURCH","","","","25","Ground water","3340 SMITHTOWN RD
EAST BEND, NC 27018","336-699-2288","",""
"SHADY GROVE MHP","","","","215","Ground water","60 RAVEN LN
SPRING LAKE, NC 28390","910-960-9141","",""
"SHADY GROVE UNITED METHODIST","","","","25","Ground water","706 CARROLL RD
PROVIDENCE, NC 27315","336-514-6577","",""
"SHADY GROVE WESLEYAN CHURCH PRESCHOOL","","","","50","Ground water","PO BOX 98
COLFAX, NC 27235","336-993-2625","",""
"SHADY HAVEN MHP","","","","46","Ground water","4311 PARMELE RD
SHADY HAVEN MHP
CASTLE HAYNE, NC 28429","910-798-9022","",""
"SHADY REST MHP","","","","69","Ground water","2509 SPARROW SPRINGS RD
KINGS MOUNTAIN, NC 28086","704-964-2844","",""
"SHADY WAGON FARM","","","","100","Ground water","421 MOUNTAIN LAUREL
CHAPEL HILL, NC 27517","919-542-4772","",""
"SHAK`S EXXON","","","","25","Ground water","4756 PAGETOWN RD
ELON, NC 27215","336-584-1377","",""
"SHAK`S GRILL","","","","60","Ground water","4756 PAGETOWN RD
ELON, NC 27215","336-584-1377","",""
"SHALLOTTE, TOWN OF","","","","5,862","Surface water purchased","PO BOX 2287
TOWN OF SHALLOTTE
SHALLOTTE, NC 28459","910-754-4032","",""
"SHALLOWFORD NATURAL AREA","","","","25","Ground water","3916 R DEAN COLEMAN RD
BUILINGTON, NC 27215","336-229-2379","",""
"SHAMROCK GOLF COURSE","","","","25","Ground water","1722 SHAMROCK DRIVE
BURLINGTON, NC 27215","336-350-8002","",""
"SHAMROCK MOTEL","","","","30","Ground water","PO BOX 81
CHEROKEE, NC 28719","","",""
"SHAMROCK PARK S/D","","","","178","Surface water purchased","PO BOX 398
HICKORY, NC 28603","828-323-7427","",""
"SHANGRI-LA S/D","","","","170","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"SHANNA APARTMENTS","","","","60","Ground water","24 SHANNA DR
WEAVERVILLE, NC 28787","828-645-0417","",""
"SHARKY'S BAR AND GRILL","","","","100","Ground water","3553 CEDAR ISLAND RD.
CEDAR ISLAND, NC 28520","252-515-0201","",""
"SHARON BAPT CHURCH","","","","60","Ground water","7021 GOSHEN ROAD
OXFORD, NC 27565","919-690-8311","",""
"SHARON BAPTIST CHURCH","","","","125","Ground water","1898 IRON WORKS RD
REIDSVILLE, NC 27320","336-951-2990","",""
"SHARON BAPTIST CHURCH","","","","50","Ground water","10496 RUTH VISON RD
AUTRYVILLE, NC 28318","","",""
"SHARON FREEWILL BAPTIST CHURCH","","","","175","Ground water","410 REESE STREET
GASTONIA, NC 28056","704-827-3144","",""
"SHARON WALKER BAPTIST CHURCH","","","","25","Ground water","503 COLLEGE ST
WILKESBORO, NC 28697","","",""
"SHARPE ROAD BAPTIST CHURCH","","","","25","Ground water","1908 SHARPE RD
GREENSBORO, NC 27406","336-272-2618","",""
"SHARPSBURG, TOWN OF","","","","2,006","Surface water purchased","PO BOX 1759
SHARPSBURG, NC 27878","252-446-9441","",""
"SHATLEY SPRINGS RESTAURANT","","","","200","Ground water","407 SHATLEY SPRINGS RD
CRUMPLER, NC 28617","336-982-2236","",""
"SHAW HILLS S/D","","","","66","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"SHEARER PRESBYTERIAN CHURCH","","","","25","Ground water","1278 SHEARER RD
MOORESVILLE, NC 28115","704-664-1279","",""
"SHEENA`S RESTAURANT","","","","75","Ground water","1562 BARNARDSVILLE HWY
BARNARDSVILLE, NC 28709","828-626-2928","",""
"SHEFFIELD PARK S/D","","","","79","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"SHELBY, CITY OF","","","","20,323","Surface water","PO Box 207
SHELBY, NC 28151-0207","704-484-6885","",""
"SHELTON CHURCH OF THE BRETHREN","","","","75","Ground water","564 INDIAN GROVE CHURCH RD.
MT AIRY, NC 27030","","",""
"SHELTON WINERY","","","","25","Ground water","286 CABERNET LN
DOBSON, NC 27017","","",""
"SHEPHERD BAPTIST CHURCH","","","","60","Ground water","2210 CHARLOTTE HWY
MOORESVILLE, NC 28117","704-506-6864","",""
"SHEPHERD SCHOOL","","","","574","Ground water","350 OLD MURDOCK RD
IREDELL STATESVILLE SCHOOLS
TROUTMAN, NC 28166","704-880-4373","",""
"SHEPHERDS WAY S/D","","","","115","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"SHERWOOD FOREST CAMPGROUNDS","","","","160","Ground water","PO BOX 55
HENRICO, NC 27842","252-537-2526","",""
"SHERWOOD FOREST S/D","","","","160","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
